f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209
451.575,245.424,0.68308,458.244,280.105,0.764308,467.581,318.787,0.752484,479.586,353.469,0.784274,495.593,386.816,0.768935,518.269,417.495,0.739482,543.613,440.171,0.772564,576.96,460.18,0.775606,615.643,461.514,0.884218,648.99,450.843,0.851507,671.666,425.499,0.74352,691.675,396.153,0.815982,707.681,365.474,0.729703,714.351,333.46,0.767265,722.354,300.113,0.824638,723.688,268.1,0.818882,723.688,236.086,0.73479,482.254,213.41,0.816397,500.929,193.402,0.892047,530.274,180.063,0.850807,560.954,174.727,0.836146,588.965,182.731,0.794857,627.648,182.731,0.856867,651.658,173.393,0.830944,678.336,173.393,0.87798,701.012,182.731,0.867151,713.017,197.403,0.848984,612.975,217.412,0.823754,615.643,245.424,0.873066,615.643,269.434,0.945207,616.977,298.779,0.879565,586.297,320.121,0.85114,603.638,321.455,0.940868,616.977,322.789,0.905612,630.316,321.455,0.877888,644.989,312.118,0.855574,519.603,236.086,0.923887,535.61,222.747,0.824293,555.618,217.412,0.869289,572.959,232.085,0.896578,555.618,237.42,0.915371,538.277,237.42,0.852649,646.323,226.749,0.923225,659.661,214.744,0.952265,679.67,214.744,0.974993,691.675,226.749,0.981813,679.67,230.751,0.912906,659.661,228.083,0.909881,562.287,374.811,0.882868,583.63,356.136,0.820719,604.972,348.133,0.861361,616.977,352.135,0.923213,632.984,344.131,0.889356,650.324,352.135,0.901427,667.665,362.806,0.919214,654.326,386.816,0.856482,635.651,404.156,0.85507,616.977,408.158,0.946126,603.638,408.158,0.91149,579.628,397.487,0.865592,572.959,374.811,0.905113,604.972,364.14,0.884797,618.311,364.14,0.879368,634.318,360.138,0.834064,658.328,364.14,0.949833,635.651,377.479,0.792795,616.977,384.148,0.85348,604.972,384.148,0.803695,547.615,226.749,0.796795,668.999,218.746,0.879602
563.945,350.858,0.322196,558.887,378.172,0.473642,557.875,406.497,0.49536,563.945,435.834,0.488454,573.049,460.113,0.495944,588.224,484.392,0.480913,604.409,507.659,0.457826,623.63,523.845,0.599154,645.886,534.973,0.699397,668.141,532.95,0.484965,683.316,525.868,0.284932,715.687,508.671,0.401313,733.897,493.496,0.434558,757.164,476.299,0.561151,777.396,455.055,0.510545,791.559,434.823,0.444284,799.652,415.602,0.388832,605.421,360.974,0.844138,629.7,366.033,0.835556,653.979,376.149,0.850775,676.234,386.265,0.864268,698.49,399.416,0.704778,730.862,403.462,0.715085,753.117,398.404,0.671579,771.326,394.358,0.808993,785.489,389.3,0.703419,799.652,389.3,0.554932,710.629,418.637,0.843095,704.56,443.927,0.708909,702.536,469.218,0.815673,697.478,495.52,0.7479,661.06,483.38,0.924766,670.165,492.485,0.842261,683.316,500.578,0.741057,702.536,496.531,0.643216,718.722,486.415,0.636067,620.595,395.369,0.703356,636.781,406.497,0.779596,652.967,410.544,0.802443,670.165,410.544,0.690774,652.967,411.555,0.753606,636.781,409.532,0.832435,734.908,416.613,0.733094,750.082,420.66,0.735464,764.245,422.683,0.817411,775.373,422.683,0.720911,763.233,426.73,0.810898,750.082,423.695,0.715059,616.549,476.299,0.878805,638.804,491.473,0.854792,661.06,501.589,0.846165,671.176,507.659,0.85688,685.339,506.647,0.707238,698.49,501.589,0.719934,710.629,500.578,0.508764,693.432,514.74,0.588319,676.234,519.798,0.704338,662.072,521.822,0.720124,647.909,517.775,0.705202,630.711,502.601,0.783886,621.607,483.38,0.89641,656.002,507.659,0.881556,669.153,510.694,0.829749,683.316,509.682,0.705776,703.548,501.589,0.663029,681.292,510.694,0.685243,669.153,512.717,0.797928,653.979,508.671,0.93208,641.839,410.544,0.700671,755.141,423.695,0.645703
479.543,237.13,0.652412,484.394,277.149,0.773111,494.096,315.956,0.785746,503.798,354.763,0.771587,521.988,391.144,0.744737,543.817,421.462,0.757692,572.922,443.291,0.737296,609.304,460.269,0.799513,643.26,461.482,0.795225,674.79,451.78,0.775102,696.619,428.739,0.735365,716.023,398.421,0.709108,729.363,366.89,0.698521,737.852,335.359,0.724336,745.128,300.191,0.730261,746.341,267.447,0.813722,746.341,235.917,0.708841,513.499,208.024,0.854096,534.115,187.408,0.839453,563.221,174.068,0.808203,593.538,170.43,0.831908,626.282,177.706,0.744346,659.025,172.856,0.793834,684.492,169.217,0.804806,706.321,170.43,0.906414,726.937,178.919,0.878282,737.852,197.11,0.802146,645.685,216.513,0.814822,648.111,244.406,0.862204,649.323,269.873,0.860794,651.749,297.765,0.823336,620.218,322.02,0.848195,635.984,325.658,0.873429,649.323,326.87,0.840347,663.876,324.445,0.86361,674.79,315.956,0.876666,551.093,228.641,0.910564,569.284,217.726,0.897944,589.9,215.301,0.921123,606.878,227.428,0.908725,589.9,233.491,0.910229,570.497,235.917,0.871356,674.79,226.215,0.876304,690.556,215.301,0.826931,708.746,216.513,0.904501,719.661,227.428,0.877194,707.534,228.641,0.969992,690.556,227.428,0.897657,586.262,369.316,0.815547,611.729,365.677,0.769739,637.196,364.465,0.820361,650.536,368.103,0.844638,663.876,363.252,0.828914,678.429,363.252,0.94467,691.768,364.465,0.901034,678.429,377.805,0.873708,666.301,383.868,0.892273,650.536,383.868,0.846295,634.771,383.868,0.73851,610.516,382.655,0.826772,593.538,371.741,0.878881,637.196,374.166,0.827175,650.536,374.166,0.880564,665.089,372.954,0.862772,686.918,366.89,0.856004,666.301,372.954,0.89242,650.536,374.166,0.906507,637.196,374.166,0.826023,580.199,220.152,0.832508,700.257,218.939,0.884353
456.048,239.994,0.646677,463.984,279.675,0.756756,474.566,315.388,0.755996,485.148,353.746,0.788987,499.697,385.491,0.750903,523.506,415.913,0.716582,548.637,439.722,0.806881,581.705,459.563,0.788531,620.064,460.885,0.836402,651.808,450.304,0.779927,674.294,427.818,0.799582,694.135,397.396,0.796845,707.362,366.973,0.736625,717.944,335.228,0.775955,725.88,302.161,0.791849,728.525,269.093,0.828805,727.203,237.348,0.723866,486.47,208.249,0.789161,506.311,185.763,0.89217,536.733,173.858,0.872513,568.478,173.858,0.881034,598.9,184.44,0.837856,634.613,181.795,0.81353,658.422,172.536,0.813809,682.231,167.245,0.842901,706.039,173.858,0.853047,717.944,192.376,0.806567,621.386,217.508,0.953368,622.709,239.994,0.928241,622.709,263.802,0.847046,628.0,288.934,0.830724,600.223,311.42,0.908975,612.127,312.742,0.920177,625.354,316.711,0.823999,639.904,312.742,0.908387,650.486,310.097,0.836842,527.474,237.348,0.900239,544.669,226.767,0.904222,561.865,226.767,0.906304,580.382,230.735,0.873956,564.51,237.348,0.908449,545.992,239.994,0.869426,651.808,228.089,0.914877,665.036,218.83,0.94714,684.876,218.83,0.943458,696.78,228.089,0.975352,684.876,234.703,0.913774,665.036,232.057,0.909365,569.801,373.587,0.861005,590.964,353.746,0.912738,612.127,343.165,0.933423,626.677,344.487,0.883831,641.227,343.165,0.910264,655.777,351.101,0.877144,667.681,365.651,0.887056,655.777,394.75,0.834812,639.904,407.977,0.863085,622.709,409.3,0.946306,609.482,409.3,0.907753,585.673,397.396,0.877065,579.06,373.587,0.9099,612.127,359.037,0.837543,625.354,359.037,0.841982,641.227,356.392,0.878092,662.39,366.973,0.88413,639.904,384.169,0.763052,622.709,386.814,0.861228,610.805,385.491,0.886237,553.928,229.412,0.830459,674.294,226.767,0.939884
482.786,239.989,0.653417,487.627,278.72,0.777851,497.31,317.451,0.788127,506.993,356.182,0.776936,525.148,391.282,0.720233,545.724,421.541,0.745162,574.772,443.327,0.797526,609.872,461.483,0.773366,643.762,463.903,0.781229,676.441,454.22,0.724335,699.438,430.014,0.720324,718.803,398.545,0.70371,733.328,367.076,0.685497,741.8,335.607,0.693691,749.062,298.086,0.768981,750.272,266.617,0.744859,749.062,235.148,0.681681,519.096,209.73,0.826629,542.093,189.155,0.818392,568.72,177.051,0.795767,600.189,172.21,0.839658,631.659,179.472,0.764817,665.548,175.841,0.752926,689.755,170.999,0.86301,710.331,172.21,0.885317,730.907,181.893,0.866388,741.8,200.048,0.790146,651.024,218.203,0.856193,652.234,246.041,0.875182,654.655,273.879,0.825606,659.496,299.296,0.830422,623.186,322.293,0.835125,641.341,327.134,0.915699,654.655,328.344,0.80163,670.39,325.924,0.883518,680.072,317.451,0.91874,555.407,230.306,0.902955,573.562,219.413,0.909842,594.138,216.993,0.924803,611.083,229.096,0.944826,594.138,233.937,0.922878,573.562,236.358,0.865529,680.072,227.886,0.927816,697.017,216.993,0.822596,713.962,218.203,0.876608,726.065,227.886,0.866952,711.541,230.306,0.939014,697.017,229.096,0.893358,592.927,371.917,0.860716,615.924,363.445,0.816567,641.341,356.182,0.861468,655.865,362.234,0.786504,670.39,356.182,0.903764,683.703,359.813,0.799833,699.438,367.076,0.902174,686.124,386.441,0.807694,670.39,396.124,0.823359,653.445,400.965,0.800521,636.5,399.755,0.773411,613.503,391.282,0.812412,601.4,374.338,0.868366,638.921,375.548,0.81241,654.655,376.758,0.804586,670.39,375.548,0.874236,690.965,370.707,0.854452,670.39,375.548,0.911512,654.655,377.969,0.820846,638.921,376.758,0.829674,584.455,221.834,0.83061,705.49,220.624,0.856854
550.367,291.733,0.525073,542.756,327.614,0.601002,543.843,363.495,0.582594,548.193,397.201,0.651039,559.066,426.559,0.635774,575.375,455.916,0.652178,592.772,483.099,0.700714,616.693,501.583,0.722021,643.876,511.369,0.767764,668.884,508.107,0.643942,691.717,492.884,0.54584,713.463,475.488,0.656944,736.297,457.003,0.644276,754.781,436.344,0.668137,770.003,411.336,0.617783,785.226,385.241,0.539405,793.924,360.233,0.508952,588.423,299.344,0.784365,612.344,300.431,0.846787,638.439,308.042,0.805645,662.36,317.828,0.901141,687.368,330.876,0.756475,722.162,336.312,0.784864,741.733,329.788,0.764835,763.479,326.526,0.79429,781.964,321.09,0.735243,799.361,326.526,0.663174,697.154,354.796,0.82869,694.979,383.066,0.687999,688.455,413.511,0.821575,686.281,439.606,0.846783,650.399,433.083,0.858615,661.273,442.868,0.849356,677.582,451.567,0.805465,692.804,448.305,0.745865,704.765,439.606,0.745595,601.471,336.312,0.736856,619.955,350.447,0.762392,639.526,353.709,0.791603,660.185,352.622,0.725036,638.439,353.709,0.769912,618.867,352.622,0.861019,723.249,360.233,0.848354,738.471,364.582,0.791269,750.432,370.019,0.889708,765.654,368.931,0.764398,750.432,371.106,0.896891,736.297,367.844,0.764392,610.169,445.043,0.900885,634.09,455.916,0.789565,653.661,460.265,0.819605,668.884,466.789,0.853747,680.844,465.702,0.851369,694.979,465.702,0.749441,705.852,462.44,0.79957,688.455,478.749,0.699813,673.233,487.448,0.705343,661.273,489.623,0.751003,644.963,484.186,0.778452,626.479,470.051,0.80587,617.78,449.392,0.8688,652.574,467.876,0.858928,664.534,474.4,0.84227,678.669,473.313,0.793594,699.328,465.702,0.779498,678.669,473.313,0.810187,663.447,475.488,0.883797,651.487,470.051,0.808637,626.479,353.709,0.721422,742.821,368.931,0.715314
484.018,239.791,0.679371,486.473,279.063,0.785073,496.291,317.108,0.808635,506.109,355.153,0.761153,524.518,388.288,0.746995,545.381,417.742,0.764927,574.835,443.515,0.769553,607.971,458.242,0.74556,643.561,464.378,0.81884,674.242,454.56,0.785353,700.014,426.333,0.728596,719.65,396.879,0.728909,733.15,367.425,0.733143,741.741,335.517,0.738908,750.331,298.699,0.762232,751.559,268.018,0.802882,750.331,237.337,0.696178,519.609,209.11,0.82274,541.699,189.474,0.830414,568.699,177.202,0.798763,600.607,171.065,0.829951,631.288,179.656,0.771859,664.424,175.974,0.77714,690.196,169.838,0.837469,711.059,171.065,0.887488,730.695,180.883,0.870727,741.741,199.292,0.806778,650.924,217.701,0.850114,652.151,245.928,0.879079,653.379,271.7,0.859561,658.288,298.699,0.835842,623.925,320.79,0.8476,641.106,326.926,0.895366,654.606,328.153,0.847509,669.333,324.471,0.824143,681.605,317.108,0.895134,555.199,229.973,0.902455,573.608,218.928,0.920841,594.471,216.474,0.925874,611.652,228.746,0.933251,594.471,233.655,0.922218,573.608,236.11,0.867272,680.378,227.519,0.899984,696.332,217.701,0.839244,713.514,217.701,0.9198,724.559,228.746,0.888326,712.287,229.973,0.974963,695.105,228.746,0.891672,592.016,371.107,0.835171,615.334,361.289,0.804321,641.106,356.38,0.835591,654.606,358.834,0.800609,670.56,356.38,0.849058,684.06,358.834,0.873184,698.787,367.425,0.883214,685.287,387.061,0.838051,671.787,396.879,0.837628,653.379,399.334,0.830533,634.97,398.106,0.822147,612.88,390.743,0.803815,601.834,373.561,0.819586,637.424,376.016,0.813721,653.379,377.243,0.869123,670.56,376.016,0.835182,691.423,368.652,0.860913,670.56,376.016,0.862514,653.379,377.243,0.891054,637.424,376.016,0.847361,584.653,221.383,0.828984,704.923,220.155,0.87257
471.435,238.322,0.658833,475.097,276.155,0.757822,484.86,313.988,0.763845,495.844,348.16,0.724939,511.709,383.552,0.781078,533.677,412.842,0.799653,564.187,434.81,0.772224,599.579,451.896,0.784076,636.192,453.116,0.812912,669.143,442.133,0.805506,691.111,416.504,0.748118,710.638,388.434,0.75132,727.724,357.924,0.749869,736.267,326.193,0.776981,738.707,294.462,0.783339,738.707,260.29,0.75704,738.707,231.0,0.678191,503.166,209.032,0.881551,523.913,188.285,0.897972,551.983,173.64,0.823962,582.494,169.979,0.864737,611.784,177.301,0.786181,649.617,171.199,0.797832,671.584,167.538,0.815791,697.213,168.758,0.865264,717.96,178.522,0.845928,728.944,195.608,0.804175,631.31,216.355,0.811072,636.192,243.204,0.809213,639.853,267.612,0.906249,641.074,295.682,0.918877,610.563,317.65,0.868176,622.767,322.531,0.876551,639.853,324.972,0.901989,652.058,317.65,0.859823,664.262,315.209,0.862491,540.999,229.779,0.872151,558.085,217.575,0.839869,580.053,215.134,0.868663,593.477,228.559,0.92224,578.832,233.441,0.871549,558.085,235.881,0.840719,663.041,224.898,0.874555,680.127,212.693,0.844744,699.654,212.693,0.912052,710.638,224.898,0.88395,698.434,227.339,0.977501,680.127,227.339,0.939103,572.73,357.924,0.870544,599.579,353.042,0.861302,621.547,345.719,0.89733,639.853,346.94,0.872146,653.278,343.278,0.826196,670.364,345.719,0.946081,688.67,353.042,0.925339,676.466,375.009,0.867052,659.38,390.875,0.853342,641.074,393.316,0.930157,621.547,393.316,0.900012,595.918,383.552,0.83541,582.494,361.585,0.869262,621.547,364.026,0.889386,639.853,364.026,0.918537,655.719,361.585,0.804897,678.907,355.483,0.945548,656.939,365.246,0.850832,641.074,368.907,0.847291,621.547,368.907,0.787785,570.289,220.016,0.793895,689.891,217.575,0.938401
467.321,240.122,0.718477,475.432,279.329,0.728014,483.544,314.48,0.764452,495.712,350.983,0.720873,510.583,386.134,0.75918,533.567,411.821,0.821115,564.662,434.804,0.778808,597.109,453.732,0.828645,632.26,455.084,0.854655,663.355,444.268,0.857403,687.69,421.285,0.761485,706.618,391.542,0.790891,724.193,364.502,0.72559,730.953,333.407,0.730237,737.713,299.608,0.755833,739.065,265.809,0.761757,737.713,234.714,0.672227,499.768,211.731,0.807348,520.047,188.747,0.782398,544.383,175.228,0.833831,576.83,172.524,0.870615,607.925,180.635,0.795658,645.78,173.876,0.807174,670.115,169.82,0.807985,694.45,169.82,0.854669,714.73,175.228,0.814924,726.897,194.155,0.848973,629.556,217.138,0.917126,630.908,244.178,0.875922,632.26,269.865,0.872647,639.02,294.2,0.836201,607.925,318.536,0.851344,620.092,322.591,0.915153,636.316,323.943,0.855272,651.188,318.536,0.855941,662.003,313.128,0.929385,534.919,238.77,0.886256,552.494,234.714,0.811626,571.422,230.658,0.835484,587.645,234.714,0.85722,572.774,237.418,0.936646,553.846,238.77,0.923939,662.003,227.954,0.901916,675.523,226.602,0.927618,694.45,226.602,0.933588,706.618,230.658,0.897512,693.098,233.362,0.886386,674.171,230.658,0.874635,572.774,360.446,0.840034,597.109,353.687,0.877598,620.092,346.927,0.928387,637.668,346.927,0.845251,651.188,344.223,0.890052,671.467,345.575,0.906193,684.987,355.039,0.970106,672.819,378.022,0.925756,653.891,390.19,0.861819,640.372,395.597,0.855282,620.092,394.245,0.847597,595.757,387.486,0.846486,580.885,364.502,0.817224,620.092,364.502,0.844706,639.02,363.15,0.82969,652.539,359.094,0.871234,676.875,356.391,0.908105,652.539,367.206,0.920423,639.02,369.91,0.857771,620.092,369.91,0.863075,561.958,236.066,0.791453,683.635,227.954,0.899507
550.022,356.339,0.29412,548.026,385.283,0.451481,549.024,415.225,0.507849,554.015,442.173,0.471237,565.992,468.123,0.504535,580.963,491.078,0.471772,597.93,514.034,0.452248,618.889,530.003,0.54137,640.847,538.986,0.627117,662.804,536.99,0.414476,692.746,521.021,0.34612,708.715,511.04,0.446975,728.677,495.071,0.4765,747.64,480.1,0.544275,770.596,456.146,0.528251,782.573,433.19,0.398213,790.557,415.225,0.361335,591.941,365.322,0.774008,614.897,370.312,0.825333,640.847,378.297,0.78252,661.806,391.272,0.82213,685.76,402.25,0.711883,718.696,407.241,0.702826,741.652,400.254,0.731329,759.617,394.266,0.774142,774.588,391.272,0.71651,789.559,388.277,0.554522,699.733,422.212,0.763071,693.744,448.161,0.752263,692.746,473.113,0.797928,686.758,497.067,0.783083,650.827,487.086,0.87982,660.808,496.069,0.849167,674.781,505.051,0.761522,693.744,500.061,0.656259,709.713,490.08,0.549953,607.91,401.252,0.685084,623.88,411.233,0.76214,642.843,416.223,0.727822,660.808,414.227,0.65617,641.845,416.223,0.704756,622.881,415.225,0.810414,725.683,417.221,0.766035,740.654,424.208,0.772301,754.627,424.208,0.845084,765.605,423.21,0.705489,754.627,426.204,0.784996,740.654,425.206,0.75887,608.908,481.098,0.895682,630.866,496.069,0.88377,652.823,505.051,0.864741,663.802,512.038,0.844529,677.775,509.044,0.690487,691.748,504.053,0.711349,705.721,501.059,0.556531,686.758,517.028,0.483305,668.793,523.017,0.705321,654.82,526.011,0.741082,642.843,522.019,0.706532,622.881,507.048,0.821227,613.899,488.084,0.905635,648.831,512.038,0.891032,661.806,514.034,0.810547,676.777,513.036,0.674658,697.737,504.053,0.692275,675.779,514.034,0.649618,660.808,516.03,0.817812,646.835,513.036,0.920947,629.868,415.225,0.682359,745.644,424.208,0.658068
