f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209
282.235,295.333,0.0779938,379.406,331.915,0.148455,357.685,138.716,0.0530888,410.272,139.859,0.0156263,279.948,287.33,0.00645808,279.948,287.33,0.0104409,401.126,202.734,0.0185512,428.563,240.459,0.0101998,428.563,240.459,0.00703928,476.577,303.335,0.000950289,476.577,303.335,0.01938,522.305,258.75,0.0877748,539.452,202.734,0.0682139,530.307,177.584,0.0668179,557.743,313.624,0.0798517,493.725,327.342,0.104991,494.868,302.192,0.061989,346.253,245.032,0.327396,367.974,239.316,0.395995,407.986,234.743,0.273266,436.565,232.457,0.167434,457.143,249.605,0.0174917,475.434,350.206,0.000421417,438.852,239.316,0.0148749,403.413,227.884,0.0410687,438.852,232.457,0.220663,458.286,247.319,0.145114,477.72,273.612,0.0336003,466.288,296.476,0.0136175,466.288,296.476,0.00177912,467.431,298.762,0.000246729,367.974,239.316,0.000333098,366.831,239.316,0.0449833,394.267,239.316,0.0153619,426.277,249.605,0.0579941,475.434,349.062,0.0393132,386.265,285.044,0.565036,403.413,269.039,0.595584,425.133,262.18,0.41467,447.997,266.753,0.266582,429.706,277.042,0.358796,411.415,286.187,0.433881,383.979,286.187,0.0585122,403.413,267.896,0.0124934,421.704,257.607,0.0811375,445.711,266.753,0.184163,429.706,278.185,0.0650703,413.701,275.898,0.0119657,484.579,240.459,0.00793081,475.434,240.459,0.00769889,405.699,227.884,0.0117295,406.842,227.884,0.011987,411.415,233.6,0.0504498,430.849,249.605,0.0255669,459.429,253.035,0.0478262,513.159,214.166,0.00111319,429.706,285.044,0.0153359,439.995,239.316,0.00785686,439.995,239.316,0.00407015,403.413,266.753,0.000418608,403.413,266.753,0.0125012,474.291,234.743,0.00699868,476.577,231.314,0.0127795,405.699,221.025,0.0229774,459.429,253.035,0.00379833,430.849,247.319,0.0151462,439.995,239.316,0.00229524,405.699,227.884,0.00292869,412.558,273.612,0.417645,413.701,277.042,0.0881162
367.514,207.952,0.043517,367.514,295.876,0.0699253,367.514,350.304,0.149479,367.514,410.316,0.112303,366.119,481.492,0.0906254,389.844,505.217,0.024528,405.196,505.217,0.0473438,618.724,505.217,0.00562436,618.724,505.217,0.00400162,716.417,322.392,0.00209331,652.219,505.217,0.0145961,670.362,488.47,0.136213,681.527,459.162,0.374701,696.879,431.25,0.461289,716.417,392.173,0.62583,726.187,354.491,0.666158,726.187,312.623,0.696386,447.064,178.644,0.534953,493.119,157.71,0.670475,543.361,156.314,0.70069,583.834,166.084,0.776676,621.516,188.414,0.730851,702.461,213.535,0.774886,722.0,212.139,0.80175,740.143,219.117,0.778093,755.494,233.073,0.739153,759.681,251.216,0.611042,649.428,244.238,0.60251,649.428,287.502,0.631356,650.824,332.162,0.615054,652.219,369.843,0.699607,582.439,400.546,0.755054,604.768,407.525,0.735039,625.703,414.503,0.660514,643.845,413.107,0.671429,661.988,408.92,0.546806,495.911,223.304,0.774525,523.823,219.117,0.803971,548.944,221.908,0.839829,571.274,240.051,0.804645,546.153,242.842,0.768821,516.845,235.864,0.760701,671.758,267.963,0.802846,694.087,265.172,0.848498,715.022,276.337,0.861277,720.604,290.293,0.830671,705.252,291.689,0.839105,685.714,280.524,0.800287,515.449,480.096,0.613924,560.109,457.767,0.608625,601.977,447.997,0.709092,620.12,456.371,0.718062,638.263,449.393,0.646134,657.802,459.162,0.504412,660.593,470.327,0.29399,659.197,487.074,0.332256,641.054,505.217,0.156643,618.724,505.217,0.289619,593.603,505.217,0.252895,558.713,505.217,0.256641,526.614,480.096,0.63952,594.999,470.327,0.64026,617.329,475.91,0.575231,638.263,475.91,0.41745,656.406,470.327,0.247665,638.263,482.888,0.350075,617.329,491.261,0.368811,592.208,494.052,0.387999,530.801,226.095,0.757937,699.67,276.337,0.782586
395.049,197.95,0.0462468,371.912,287.776,0.0817682,371.912,343.577,0.155886,371.912,412.988,0.0981708,371.912,472.872,0.0571683,634.586,470.15,0.0238049,405.937,496.009,0.0376122,622.337,496.009,0.00557118,622.337,496.009,0.00398507,723.051,295.942,0.00148258,592.395,496.009,0.01861,664.528,482.399,0.11982,678.138,455.179,0.307498,695.831,426.598,0.428428,713.524,392.573,0.597566,723.051,350.382,0.642828,724.412,308.191,0.622959,441.323,180.257,0.520149,490.32,155.759,0.637966,539.316,154.398,0.706114,581.507,165.286,0.773109,615.532,185.701,0.71034,698.553,210.199,0.78472,720.329,208.838,0.818153,739.383,212.921,0.756532,754.354,229.253,0.735821,755.715,245.585,0.610175,646.835,242.863,0.584627,645.474,283.693,0.618716,646.835,329.967,0.62348,646.835,366.714,0.705265,580.146,395.295,0.729981,601.922,404.822,0.733724,623.698,412.988,0.622572,637.308,408.905,0.660044,656.362,406.183,0.594018,493.042,221.087,0.818439,518.901,214.282,0.769182,547.482,219.726,0.809601,569.258,238.78,0.804337,542.038,238.78,0.734671,514.818,233.336,0.787133,668.611,264.639,0.805661,690.387,263.278,0.835971,712.163,272.805,0.864097,720.329,286.415,0.820171,702.636,287.776,0.806665,684.943,278.249,0.780191,516.179,481.038,0.496406,554.287,459.262,0.564031,596.478,447.013,0.675065,615.532,449.735,0.677359,634.586,448.374,0.637742,648.196,455.179,0.42127,648.196,468.789,0.229026,652.279,479.677,0.296558,635.947,496.009,0.153432,614.171,496.009,0.29968,592.395,496.009,0.229474,559.731,496.009,0.190958,525.706,481.038,0.522759,593.756,466.067,0.618924,614.171,470.15,0.627278,633.225,470.15,0.422455,641.391,468.789,0.225434,634.586,472.872,0.360629,615.532,481.038,0.406505,591.034,496.009,0.391637,527.067,222.448,0.791878,697.192,272.805,0.798771
1077.32,300.612,0.772745,1082.65,327.253,0.805467,1090.65,350.342,0.845943,1097.75,372.543,0.790306,1106.63,393.856,0.835366,1121.73,413.393,0.878532,1138.6,427.601,0.817092,1158.14,440.034,0.823685,1184.78,442.698,0.878688,1207.87,436.482,0.78791,1228.29,422.273,0.825657,1242.5,405.4,0.796444,1250.49,382.311,0.737533,1256.71,358.334,0.806897,1261.15,335.245,0.790048,1262.92,313.044,0.76892,1263.81,289.955,0.628837,1092.42,295.284,0.854388,1101.3,286.403,0.917818,1119.06,284.627,0.877292,1135.05,284.627,0.907588,1150.14,286.403,0.885747,1185.67,285.515,0.844937,1200.76,277.523,0.869985,1217.63,272.195,0.861986,1234.51,272.195,0.918166,1248.72,278.411,0.838459,1170.57,299.724,0.948171,1171.46,313.932,0.93325,1175.01,328.141,0.863042,1177.67,343.238,0.904979,1157.25,357.446,0.933472,1167.9,359.222,0.842713,1177.67,362.774,0.917303,1186.55,358.334,0.853418,1198.1,356.558,0.913317,1113.73,307.716,0.860822,1121.73,304.164,0.834134,1135.05,302.388,0.858427,1143.93,306.828,0.777778,1135.05,308.604,0.847558,1121.73,310.38,0.83785,1198.1,300.612,0.916202,1206.98,295.284,0.919686,1218.52,295.284,0.853419,1228.29,298.836,0.870673,1219.41,300.612,0.88898,1206.98,300.612,0.984288,1145.7,390.304,0.82123,1158.14,382.311,0.848375,1170.57,377.871,0.927223,1178.56,378.759,0.924985,1188.33,376.983,0.827141,1199.87,378.759,0.943539,1213.19,384.975,0.904247,1200.76,392.968,0.919379,1191.88,399.184,0.939536,1180.34,400.072,0.876503,1171.46,400.072,0.936333,1158.14,398.296,0.849605,1151.03,389.416,0.842734,1170.57,385.863,0.922258,1179.45,386.751,0.893702,1190.99,385.863,0.904557,1206.98,384.975,0.92565,1190.99,385.863,0.903241,1179.45,386.751,0.900694,1170.57,386.751,0.919932,1128.83,305.94,0.834801,1213.19,298.836,0.838933
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320.834,178.18,0.4036,313.771,240.33,0.47525,312.359,298.243,0.447855,312.359,356.156,0.51252,327.896,408.418,0.502951,347.671,456.443,0.530082,380.159,491.756,0.486436,426.771,505.881,0.140095,477.621,505.881,0.068317,510.109,505.881,0.100132,544.009,505.881,0.432287,573.672,471.981,0.6266,596.272,439.493,0.594425,613.222,398.531,0.597327,632.997,351.918,0.476171,649.947,310.955,0.437135,662.659,268.58,0.450936,377.334,195.13,0.726489,412.646,185.243,0.800627,449.371,186.655,0.831793,481.859,196.543,0.809315,510.109,213.493,0.745657,568.022,220.555,0.78649,593.447,210.668,0.776705,621.697,209.255,0.859657,645.709,214.905,0.800091,665.484,231.855,0.682768,534.122,251.63,0.814937,532.709,286.943,0.82302,531.297,322.255,0.851666,527.059,360.393,0.755291,466.321,361.806,0.823356,487.509,374.518,0.829554,511.521,388.643,0.793426,541.184,381.581,0.744469,563.784,368.868,0.79879,419.709,231.855,0.906002,442.309,227.618,0.897881,464.909,230.443,0.968759,477.621,247.393,0.810343,460.671,247.393,0.824189,439.484,243.155,0.898471,575.084,258.693,0.791247,593.447,250.218,0.778704,616.047,250.218,0.812983,632.997,258.693,0.813743,614.634,267.168,0.837365,594.859,265.755,0.830016,425.359,405.593,0.803092,453.609,408.418,0.819811,483.271,411.243,0.865166,500.221,422.543,0.889369,519.996,421.131,0.864297,541.184,422.543,0.861202,555.309,425.368,0.795289,534.122,445.143,0.866049,511.521,456.443,0.810961,491.746,456.443,0.814166,469.146,449.381,0.763177,443.721,433.843,0.838892,436.659,411.243,0.882659,476.209,423.956,0.882394,497.396,433.843,0.887687,518.584,432.431,0.821186,546.834,426.781,0.80953,519.996,432.431,0.840022,497.396,433.843,0.91178,476.209,423.956,0.887475,452.196,231.855,0.826191,601.922,254.455,0.813794
207.39,190.754,0.59449,219.218,254.962,0.629104,232.736,315.791,0.68743,249.632,373.24,0.701797,271.598,422.241,0.627551,303.702,471.242,0.737339,340.875,510.105,0.59913,379.738,530.381,0.307013,437.187,530.381,0.174564,479.43,530.381,0.411566,509.844,501.656,0.588031,525.051,452.655,0.548201,536.879,395.206,0.550243,562.224,337.757,0.553135,577.431,281.997,0.621923,579.121,219.479,0.527704,577.431,160.34,0.499841,247.943,190.754,0.772953,268.219,168.789,0.810398,305.392,160.34,0.88906,337.496,162.03,0.842555,372.979,173.858,0.866684,428.739,162.03,0.797276,457.464,146.823,0.84329,494.637,134.995,0.844283,525.051,141.754,0.757664,550.396,156.961,0.639447,411.842,202.582,0.874535,415.221,241.445,0.964058,416.911,276.928,0.869522,423.67,314.101,0.837566,372.979,337.757,0.866879,398.325,349.585,0.797403,427.049,352.964,0.810715,447.326,342.826,0.767594,467.602,325.929,0.879476,295.254,221.169,0.862945,317.22,214.41,0.883424,337.496,211.031,0.874847,359.462,216.1,0.945129,339.186,222.858,0.860775,318.91,227.927,0.911392,462.533,207.651,0.792668,482.809,200.893,0.938886,508.154,199.203,0.937234,523.361,200.893,0.898231,509.844,212.72,0.966977,484.499,214.41,0.917416,367.91,418.862,0.850416,388.187,407.034,0.872663,411.842,403.655,0.865897,427.049,405.344,0.908519,440.567,403.655,0.938505,460.843,407.034,0.809924,481.119,422.241,0.774894,467.602,457.724,0.899764,445.636,474.621,0.857456,427.049,481.38,0.846664,405.083,474.621,0.831954,384.807,457.724,0.809932,376.359,420.551,0.858853,410.152,415.482,0.863005,427.049,417.172,0.891888,440.567,415.482,0.876824,469.291,427.31,0.83725,442.256,447.586,0.858812,427.049,454.345,0.813557,408.463,447.586,0.830766,330.737,214.41,0.845435,496.326,202.582,0.925531
398.485,162.959,0.0677549,374.698,255.309,0.0880442,374.698,308.481,0.167854,374.698,358.854,0.109543,374.698,452.605,0.100091,385.892,473.593,0.040658,399.884,473.593,0.034706,627.963,473.593,0.00798361,627.963,473.593,0.00553938,723.113,291.69,0.0020123,669.941,473.593,0.00992706,612.571,473.593,0.0405744,682.534,426.019,0.186273,700.724,402.231,0.348898,721.713,364.451,0.56721,728.71,323.873,0.647825,734.307,280.496,0.675489,446.06,147.567,0.571571,493.635,126.578,0.613116,545.407,123.779,0.714341,588.784,133.574,0.833462,623.765,155.962,0.738262,702.124,183.947,0.761463,724.512,179.75,0.885694,745.501,188.145,0.832297,758.094,200.738,0.77359,760.893,220.328,0.597755,654.549,211.933,0.602748,650.351,253.91,0.614381,654.549,300.086,0.650195,655.948,337.866,0.747822,588.784,370.049,0.802298,609.773,377.045,0.774175,630.762,384.041,0.638481,646.154,381.243,0.723696,664.344,377.045,0.590029,499.232,190.944,0.810782,525.817,182.548,0.785811,555.202,188.145,0.814068,577.59,204.936,0.790654,549.605,209.134,0.755457,521.62,202.138,0.789944,678.336,234.321,0.793421,702.124,232.921,0.859598,723.113,242.716,0.870944,730.109,258.108,0.799226,713.318,260.907,0.814406,690.93,248.313,0.825568,513.224,440.011,0.631724,564.997,424.62,0.673483,602.777,420.422,0.695276,622.366,426.019,0.704972,640.556,423.22,0.595784,658.747,430.217,0.296531,613.971,473.593,0.0888581,667.142,456.802,0.187014,634.959,473.593,0.0830819,619.568,473.593,0.288001,591.583,473.593,0.252123,556.601,473.593,0.253255,524.418,441.411,0.599908,597.18,444.209,0.649934,615.37,448.407,0.569521,634.959,455.403,0.344597,623.765,473.593,0.114195,636.359,459.601,0.290082,611.172,473.593,0.374888,590.183,461.0,0.427656,535.612,190.944,0.785408,707.721,244.115,0.754693
416.244,141.68,0.0867468,368.642,220.083,0.107704,368.642,280.284,0.193529,368.642,341.886,0.100036,368.642,417.489,0.0596022,392.443,438.489,0.0155567,402.243,438.489,0.037707,622.05,438.489,0.00539918,622.05,438.489,0.00390405,717.253,256.484,0.00226541,657.051,438.489,0.0143528,669.652,423.089,0.181234,682.252,392.288,0.423802,697.653,365.687,0.504422,717.253,325.086,0.66033,724.254,287.285,0.658912,727.054,243.883,0.697956,448.445,113.679,0.510078,493.246,96.8787,0.55891,539.448,94.0787,0.659013,584.249,101.079,0.775484,620.65,122.08,0.724513,697.653,147.28,0.76331,718.653,144.48,0.881391,739.654,152.88,0.82906,752.254,165.481,0.797037,755.055,180.881,0.616286,650.051,178.081,0.645442,648.651,218.683,0.612957,650.051,264.884,0.630923,650.051,302.685,0.773692,582.849,334.886,0.785428,605.25,341.886,0.762212,627.651,347.487,0.649112,643.051,346.087,0.655985,661.252,340.486,0.568422,494.646,155.681,0.769002,525.447,147.28,0.763075,549.248,154.281,0.859679,570.249,172.481,0.771417,545.048,175.281,0.778764,517.047,168.281,0.78536,672.452,200.482,0.816562,694.853,196.282,0.843984,717.253,204.682,0.837739,721.453,222.883,0.821567,706.053,224.283,0.838886,685.052,214.482,0.83021,517.047,413.289,0.602802,561.848,390.888,0.635877,602.45,382.488,0.699967,619.25,389.488,0.746028,638.851,383.888,0.667787,654.251,392.288,0.513202,659.852,402.088,0.327244,658.451,418.889,0.35348,640.251,438.489,0.168909,617.85,438.489,0.307224,594.049,438.489,0.258535,560.448,438.489,0.277434,526.847,413.289,0.594457,595.45,406.288,0.636048,616.45,410.489,0.609491,638.851,409.088,0.410872,652.851,403.488,0.28113,640.251,413.289,0.370876,617.85,424.489,0.382737,589.849,427.289,0.388195,531.047,157.081,0.755846,697.653,206.082,0.765317
359.9,168.217,0.0356898,358.546,253.488,0.0495478,358.546,300.862,0.123677,358.546,353.649,0.0775971,358.546,445.688,0.0496246,599.473,449.749,0.0271096,399.152,463.284,0.0484837,407.273,463.284,0.00356842,610.301,463.284,0.00252338,696.927,287.326,0.0020139,619.776,463.284,0.00304981,650.907,448.395,0.0777602,663.089,424.032,0.360874,679.331,392.901,0.4774,696.927,357.709,0.620204,705.048,317.104,0.638999,706.401,275.145,0.678813,424.869,146.56,0.563728,470.889,124.904,0.634685,523.676,123.55,0.713565,566.989,134.379,0.795972,599.473,156.035,0.711364,676.624,179.045,0.762208,698.28,177.691,0.822872,718.583,180.398,0.80968,732.118,197.994,0.698427,737.532,216.943,0.571518,630.604,208.822,0.614408,629.251,249.428,0.609806,631.958,295.448,0.622539,634.665,333.346,0.712362,566.989,363.124,0.772111,588.645,371.245,0.78002,608.948,379.366,0.710772,627.897,376.659,0.689683,642.786,371.245,0.633527,481.717,188.519,0.804979,508.787,180.398,0.839641,533.151,187.166,0.808864,554.807,202.055,0.840357,530.444,202.055,0.785221,502.02,199.348,0.863077,652.26,231.832,0.791289,675.27,230.479,0.853194,695.573,238.6,0.858337,702.341,253.488,0.838033,686.098,254.842,0.859515,665.796,244.014,0.823343,511.494,430.8,0.71759,550.746,413.204,0.672036,584.584,406.436,0.776668,599.473,414.557,0.757728,617.069,410.497,0.699338,631.958,425.385,0.449993,627.897,448.395,0.305699,622.483,463.284,0.284485,607.594,463.284,0.250594,587.291,463.284,0.434769,569.696,463.284,0.42545,538.565,449.749,0.431984,523.676,430.8,0.700895,577.817,430.8,0.742945,591.352,437.567,0.706766,607.594,440.274,0.540743,619.776,448.395,0.334472,606.241,448.395,0.492957,588.645,445.688,0.583715,576.463,438.921,0.565412,514.201,188.519,0.861815,680.684,239.953,0.749309
