f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209
536.463,183.182,0.786314,537.291,208.019,0.828711,540.602,229.543,0.766879,545.569,252.723,0.782636,552.192,273.42,0.776057,563.782,291.633,0.770198,577.028,308.191,0.814566,591.93,322.264,0.788014,613.455,328.887,0.794181,636.635,327.232,0.828615,656.504,313.986,0.84977,673.889,294.945,0.7518,683.824,274.248,0.792493,690.446,251.896,0.761351,696.242,227.887,0.834357,698.725,203.879,0.735294,700.381,181.527,0.69952,553.02,173.248,0.796189,563.782,166.625,0.872851,577.028,164.141,0.858861,589.446,167.453,0.848711,600.209,169.937,0.8275,630.84,168.281,0.872734,643.258,162.486,0.914252,656.504,160.83,0.896279,669.75,162.486,0.898282,678.856,169.109,0.776639,616.766,188.15,0.905331,616.766,202.223,0.927096,616.766,220.437,0.861979,616.766,235.338,0.880565,602.692,241.133,0.852022,609.315,245.273,0.818123,616.766,248.584,0.916804,624.217,246.928,0.929617,630.84,242.789,0.899034,567.094,190.633,0.826352,576.201,187.322,0.895405,585.307,187.322,0.877473,596.069,191.461,0.809076,585.307,194.773,0.896909,576.201,195.6,0.921012,642.43,188.15,0.847369,650.709,184.01,0.873588,660.643,184.01,0.861564,669.75,188.978,0.949555,660.643,191.461,0.827705,650.709,189.805,0.862323,590.274,274.248,0.92092,599.381,270.109,0.824542,610.143,268.453,0.894402,615.938,270.109,0.85363,623.389,268.453,0.902036,630.84,272.592,0.892653,641.602,275.904,0.842396,630.84,285.838,0.867185,622.561,288.322,0.883424,614.282,289.15,0.85276,606.832,288.322,0.865194,597.725,283.355,0.853964,595.242,275.076,0.864083,609.315,275.076,0.895775,615.938,275.904,0.859423,622.561,275.904,0.86494,636.635,276.732,0.857653,622.561,276.732,0.837385,615.938,277.56,0.847079,609.315,275.904,0.858095,581.168,188.978,0.801849,656.504,188.15,0.900051
582.02,197.385,0.681202,590.961,223.397,0.722109,599.903,247.783,0.686023,614.535,268.918,0.649705,631.605,288.427,0.67196,655.179,301.433,0.603765,679.565,310.375,0.650246,703.139,316.065,0.676382,723.461,311.188,0.682278,731.589,300.621,0.656902,733.215,283.55,0.67844,735.654,264.041,0.504623,740.531,244.532,0.616897,741.344,226.649,0.600309,740.531,206.327,0.622161,735.654,191.695,0.668364,729.151,175.437,0.650918,648.676,167.309,0.807091,657.617,159.18,0.831973,670.623,152.677,0.854128,686.881,150.238,0.820542,701.513,153.49,0.84301,716.145,151.864,0.770729,721.022,146.174,0.815914,725.086,141.296,0.869928,729.151,140.484,0.892806,734.028,140.484,0.835855,715.332,167.309,0.900955,724.273,180.315,0.787135,731.589,194.134,0.755773,738.905,207.952,0.715536,713.706,225.023,0.831869,721.835,225.836,0.853869,729.964,225.836,0.779665,734.841,224.21,0.710517,736.467,220.146,0.606816,666.559,179.502,0.825454,673.875,172.999,0.882192,682.004,170.56,0.861101,688.507,173.812,0.888595,682.817,179.502,0.9361,675.501,180.315,0.854603,720.209,166.496,0.840763,721.835,160.806,0.866972,727.525,159.993,0.81882,729.151,162.431,0.670973,727.525,165.683,0.763527,722.648,166.496,0.78947,698.261,259.977,0.835399,710.454,250.222,0.832635,722.648,242.906,0.818753,729.964,242.906,0.825225,734.841,239.655,0.872878,738.905,244.532,0.730767,736.467,251.848,0.72523,736.467,259.977,0.64996,734.841,266.48,0.756783,730.776,270.544,0.783129,722.648,270.544,0.815059,712.08,268.105,0.767322,704.764,258.351,0.770508,722.648,251.848,0.84228,729.151,251.848,0.833978,733.215,251.035,0.839237,734.028,251.848,0.818467,734.028,252.661,0.795204,729.151,255.099,0.80092,721.835,255.912,0.791139,677.126,173.812,0.87274,723.461,162.431,0.774728
462.165,233.239,0.63843,469.083,266.838,0.686385,476.988,297.472,0.666589,491.811,326.13,0.603156,517.505,344.906,0.60424,549.127,358.741,0.707436,580.75,362.694,0.72069,612.372,367.635,0.774831,643.007,365.658,0.80217,658.818,351.823,0.802586,661.783,330.083,0.705427,660.794,311.307,0.716458,660.794,287.59,0.771589,659.806,264.861,0.791166,658.818,243.121,0.768805,652.889,223.357,0.777434,649.924,204.581,0.664468,522.446,206.557,0.626833,533.316,190.746,0.800125,549.127,178.887,0.83156,568.891,176.911,0.838671,588.655,177.899,0.832151,616.325,175.923,0.764987,623.243,169.994,0.860191,631.148,167.029,0.81029,640.042,166.041,0.789239,645.971,169.994,0.775409,606.443,195.687,0.815764,613.361,209.522,0.877461,621.266,224.345,0.912805,629.172,238.18,0.917255,605.455,258.932,0.852786,614.349,259.92,0.806284,625.219,258.932,0.808265,630.16,256.956,0.892967,636.089,253.991,0.809052,550.115,212.486,0.88083,557.033,207.545,0.898302,565.927,202.604,0.891738,573.832,207.545,0.872498,566.915,209.522,0.893825,558.021,213.475,0.878133,619.29,199.64,0.851337,627.195,192.722,0.90484,636.089,192.722,0.9269,643.007,196.675,0.846164,636.089,201.616,0.920324,628.184,201.616,0.900939,595.573,304.39,0.908606,605.455,295.496,0.981797,617.313,288.578,0.864044,628.184,287.59,0.890421,634.113,284.625,0.780601,640.042,287.59,0.823501,643.995,295.496,0.819568,643.995,304.39,0.904604,639.054,311.307,0.860781,632.137,315.26,0.793734,620.278,315.26,0.877969,606.443,312.295,0.890365,602.49,303.401,0.808849,617.313,295.496,0.836052,628.184,295.496,0.869171,633.125,293.519,0.78168,638.066,295.496,0.867353,636.089,302.413,0.868261,629.172,303.401,0.915909,619.29,304.39,0.887942,560.986,208.534,0.871242,629.172,194.699,0.815361
491.356,236.768,0.596504,493.262,268.221,0.671761,500.887,298.721,0.642874,516.137,326.361,0.609134,540.918,348.283,0.551844,574.277,360.673,0.661918,606.683,368.298,0.749256,637.183,374.97,0.795892,667.682,372.11,0.781502,682.932,358.767,0.842533,684.838,335.892,0.719036,685.792,313.97,0.745865,687.698,292.049,0.775844,684.838,272.033,0.724808,682.932,251.065,0.808537,681.026,230.096,0.780932,674.354,213.893,0.727297,553.309,209.128,0.603007,566.652,192.925,0.746159,582.855,184.347,0.848775,600.011,183.394,0.853558,619.074,183.394,0.782463,646.714,177.675,0.814077,652.432,174.816,0.885567,659.104,170.05,0.916699,666.729,169.097,0.869628,673.401,172.91,0.771935,637.183,202.456,0.816813,644.808,215.8,0.874201,652.432,230.096,0.966689,660.057,245.346,0.960779,631.464,267.268,0.826605,643.854,267.268,0.869649,652.432,267.268,0.833771,660.057,263.455,0.810771,665.776,259.643,0.774158,581.902,217.706,0.848314,589.527,212.94,0.862156,598.105,208.175,0.867409,605.73,213.893,0.881962,599.058,215.8,0.886449,590.48,219.612,0.886808,647.667,205.315,0.853028,653.386,198.644,0.884495,664.823,196.737,0.831105,668.635,201.503,0.821953,664.823,207.222,0.867477,656.245,207.222,0.85105,617.167,308.252,0.836393,629.558,298.721,0.937545,642.901,292.049,0.832148,653.386,291.096,0.87092,660.057,288.236,0.846329,666.729,290.143,0.896853,668.635,296.814,0.793625,671.495,307.299,0.819041,667.682,316.83,0.867843,659.104,321.595,0.923123,644.808,321.595,0.883174,630.511,318.736,0.861812,625.745,307.299,0.732739,641.948,298.721,0.797176,652.432,297.768,0.829415,660.057,296.814,0.830804,666.729,297.768,0.916365,661.011,305.392,0.895108,655.292,308.252,0.814165,643.854,311.111,0.831227,591.433,213.893,0.90324,658.151,199.597,0.845964
482.474,241.726,0.590675,488.116,276.522,0.660249,495.64,308.496,0.676868,511.627,333.887,0.575288,540.78,353.636,0.52755,571.814,362.1,0.593929,607.55,368.683,0.661978,637.643,369.623,0.743311,667.737,363.981,0.764898,682.784,353.636,0.816947,684.665,332.007,0.718741,684.665,313.198,0.672908,685.605,293.449,0.729526,682.784,271.82,0.730231,679.022,252.071,0.718255,675.26,233.262,0.725536,667.737,216.335,0.643185,545.482,219.156,0.644502,555.827,203.169,0.820276,573.695,191.884,0.750514,593.444,189.062,0.864667,614.133,189.062,0.758268,637.643,188.122,0.84381,645.167,180.599,0.925539,652.69,174.956,0.883093,660.214,174.016,0.920413,667.737,176.837,0.789635,631.061,208.811,0.873833,637.643,221.977,0.872781,645.167,236.084,0.906923,653.631,251.13,0.938351,625.418,272.76,0.855538,637.643,272.76,0.855729,647.048,272.76,0.865426,653.631,269.939,0.864418,660.214,264.296,0.859118,574.635,225.739,0.838589,581.218,218.216,0.881822,590.622,217.275,0.834454,599.086,218.216,0.860503,591.563,222.918,0.862736,584.039,225.739,0.900352,640.465,209.752,0.849217,647.048,202.228,0.864069,657.392,198.467,0.850009,662.094,204.109,0.868712,659.273,210.692,0.888795,648.929,210.692,0.872728,616.014,309.436,0.935209,629.18,300.973,0.94778,639.524,294.39,0.861728,648.929,294.39,0.853659,653.631,291.568,0.849199,661.154,292.509,0.897596,667.737,295.33,0.85836,665.856,302.854,0.785362,660.214,309.436,0.854392,652.69,312.258,0.810112,642.346,315.079,0.793205,630.12,315.079,0.861335,623.537,308.496,0.852772,639.524,300.973,0.903767,649.869,300.032,0.820449,654.571,298.151,0.796672,661.154,298.151,0.884481,655.512,301.913,0.809272,651.75,302.854,0.805193,640.465,305.675,0.819756,584.98,219.156,0.943511,651.75,204.109,0.840786
424.98,186.152,0.677884,425.805,214.22,0.835754,425.805,240.636,0.785786,430.758,267.052,0.73365,444.792,288.516,0.672047,465.43,308.328,0.662617,489.37,324.838,0.71685,516.611,333.919,0.774864,541.377,333.919,0.787915,557.061,326.489,0.822555,565.316,309.153,0.765575,573.571,294.294,0.787155,579.35,279.435,0.807012,585.129,260.448,0.759193,590.907,241.462,0.668062,591.733,225.777,0.541703,591.733,210.918,0.363428,486.067,173.77,0.619684,499.276,167.991,0.764812,511.658,166.34,0.779341,526.517,164.689,0.770374,540.551,166.34,0.773833,572.746,170.468,0.478404,580.176,167.991,0.51936,587.605,163.864,0.543679,595.86,162.213,0.488165,600.813,163.864,0.482924,557.887,190.28,0.69265,560.363,208.441,0.754029,562.84,227.428,0.806982,564.491,245.589,0.917583,534.773,251.368,0.814767,544.679,255.495,0.811904,557.061,259.623,0.855875,564.491,258.797,0.829264,571.095,253.844,0.800501,500.101,191.105,0.850417,508.356,186.152,0.856466,518.262,185.327,0.87159,524.866,192.757,0.868031,517.437,195.233,0.906027,507.531,194.408,0.900601,571.92,188.629,0.810729,577.699,186.978,0.881016,585.129,186.152,0.861747,590.082,189.454,0.762099,584.303,193.582,0.843218,577.699,193.582,0.841041,519.913,280.26,0.851302,532.296,276.958,0.882428,543.853,272.831,0.917887,553.759,274.482,0.860026,562.014,273.656,0.862362,566.142,276.958,0.781448,567.793,281.086,0.848818,565.316,291.818,0.877885,559.538,299.247,0.873734,551.283,300.898,0.883449,538.9,299.247,0.914396,526.517,292.643,0.836804,536.424,281.086,0.749996,544.679,281.086,0.825398,552.108,283.563,0.879751,557.887,282.737,0.865875,562.84,281.912,0.897554,557.887,284.388,0.869753,552.108,285.214,0.88495,544.679,283.563,0.807605,512.484,187.803,0.92365,579.35,187.803,0.807556
456.843,228.583,0.676288,463.886,259.774,0.688839,472.942,290.965,0.690927,486.022,320.144,0.613154,512.182,338.255,0.568572,543.373,349.323,0.580077,576.576,354.353,0.686991,609.779,356.366,0.691793,637.952,353.347,0.723254,651.032,339.261,0.762289,658.075,321.15,0.778236,659.081,299.015,0.759592,660.087,278.891,0.788177,659.081,256.756,0.815598,658.075,234.62,0.800437,654.05,216.509,0.714327,650.026,195.38,0.688515,512.182,195.38,0.651907,521.237,179.282,0.805766,537.336,169.22,0.856976,554.441,167.208,0.838532,573.558,167.208,0.771071,609.779,160.164,0.878428,617.829,153.121,0.895376,626.884,152.115,0.925001,635.94,152.115,0.862588,642.983,158.152,0.771557,596.699,185.318,0.828444,603.742,200.411,0.847609,610.786,215.503,0.839995,618.835,228.583,0.853341,594.687,248.707,0.936065,603.742,249.713,0.906743,616.822,249.713,0.861974,620.847,247.7,0.827298,626.884,241.663,0.872955,538.342,204.436,0.875737,546.391,198.399,0.87124,555.447,193.368,0.878233,566.514,199.405,0.832934,558.465,202.423,0.861349,547.397,206.448,0.855348,613.804,191.355,0.827409,620.847,184.312,0.926107,630.909,184.312,0.890213,636.946,186.325,0.848964,631.915,192.362,0.89634,622.859,192.362,0.902522,586.638,291.971,0.873987,601.73,284.928,0.888164,611.792,278.891,0.824428,619.841,278.891,0.840524,626.884,273.861,0.867989,633.927,274.867,0.876793,639.964,280.904,0.897501,635.94,289.959,0.866831,632.921,297.002,0.860772,625.878,298.008,0.919704,616.822,299.015,0.859719,602.736,298.008,0.933708,593.681,289.959,0.927888,612.798,285.935,0.814245,621.853,282.916,0.851065,626.884,281.91,0.937817,634.933,281.91,0.982389,626.884,283.922,0.868485,621.853,287.947,0.857009,612.798,288.953,0.909885,552.428,200.411,0.862503,625.878,185.318,0.916594
611.642,198.619,0.684044,612.366,225.423,0.755518,613.815,251.503,0.66546,616.713,277.582,0.63693,628.304,300.764,0.688359,647.139,318.875,0.666767,668.872,335.537,0.792424,692.054,347.128,0.764787,715.236,348.577,0.70828,730.45,339.884,0.676246,739.867,321.773,0.65099,750.734,305.835,0.77063,760.876,289.173,0.738661,766.671,271.787,0.770722,771.018,253.676,0.781774,773.191,235.565,0.791279,772.467,218.178,0.743065,656.557,190.65,0.831406,668.148,184.13,0.857744,681.188,181.956,0.857139,696.401,184.13,0.859643,709.441,189.201,0.834377,737.694,187.752,0.782489,745.663,183.405,0.853344,755.805,179.059,0.832553,763.774,179.059,0.801156,772.467,183.405,0.771039,725.378,212.383,0.816807,726.827,227.596,0.833828,727.552,244.983,0.830881,729.001,260.196,0.825832,705.094,266.716,0.806439,715.236,271.787,0.898335,723.205,275.409,0.815445,731.898,271.787,0.776294,737.694,267.44,0.725993,669.597,213.832,0.838678,677.565,213.107,0.852915,686.983,213.107,0.947542,694.228,216.005,0.787675,686.259,218.903,0.928603,676.841,218.178,0.826764,739.867,213.107,0.862217,748.56,208.036,0.844579,755.805,208.036,0.939255,762.325,213.107,0.93775,755.805,216.005,0.893924,748.56,215.281,0.825431,688.432,297.142,0.781739,702.921,289.898,0.801716,714.512,287.724,0.84124,721.756,288.449,0.955629,727.552,286.276,0.874387,734.796,288.449,0.90083,740.592,290.622,0.816025,736.969,300.764,0.842458,729.001,307.284,0.86214,721.756,310.182,0.870651,713.063,308.733,0.801661,700.748,305.835,0.819221,694.952,296.418,0.752006,714.512,294.244,0.859439,721.756,294.244,0.928338,727.552,293.52,0.88797,736.969,292.796,0.854124,727.552,294.969,0.921571,721.756,295.693,0.907148,713.787,295.693,0.818507,681.188,213.832,0.88394,750.734,211.658,0.898219
441.706,183.663,0.652204,447.442,212.341,0.594308,453.177,240.199,0.63472,462.19,265.6,0.6234,480.216,285.264,0.63768,502.339,302.471,0.686588,526.92,316.4,0.766898,553.139,327.052,0.826812,579.359,326.232,0.795621,592.469,313.942,0.772869,596.565,295.097,0.711705,602.301,279.529,0.754759,606.398,262.322,0.703864,611.314,243.477,0.815331,616.23,225.451,0.784062,616.23,207.425,0.684173,612.133,190.218,0.548098,520.365,158.263,0.656185,531.017,153.347,0.729874,541.668,150.889,0.747844,554.778,149.25,0.753533,567.068,150.889,0.745256,590.83,154.166,0.118659,604.759,147.611,0.10319,612.953,146.792,0.0344849,612.953,144.334,0.0759741,617.05,146.792,0.185177,588.372,169.734,0.557695,595.746,185.302,0.63708,600.662,202.509,0.696662,605.578,216.438,0.833741,571.985,225.451,0.865274,580.998,230.367,0.801962,592.469,232.825,0.783241,599.024,231.186,0.80756,604.759,229.548,0.765726,532.655,172.192,0.832149,539.21,165.637,0.866091,547.404,164.818,0.861846,553.959,171.373,0.826919,546.584,177.108,0.940435,539.21,177.108,0.919322,593.288,167.276,0.271688,599.843,165.637,0.247985,612.133,163.179,0.228875,612.953,165.637,0.294286,604.759,170.554,0.314255,598.204,170.554,0.343407,543.307,262.322,0.88375,558.875,251.67,0.858374,573.623,247.574,0.837487,590.011,249.212,0.929128,597.385,249.212,0.893176,599.024,254.948,0.790625,594.107,263.142,0.725182,594.927,274.613,0.808228,593.288,285.264,0.801154,584.275,290.181,0.795352,567.068,289.361,0.821857,552.32,279.529,0.835868,548.223,263.142,0.919665,567.888,256.587,0.843814,585.914,256.587,0.865305,592.469,257.406,0.823064,591.649,263.142,0.742827,590.011,273.793,0.767631,582.636,277.071,0.806985,566.249,276.251,0.846897,541.668,170.554,0.890728,593.288,168.915,0.256132
477.934,242.204,0.497843,483.641,273.591,0.577489,491.25,303.076,0.622593,503.615,331.61,0.592745,525.491,355.389,0.517138,560.683,369.656,0.549581,593.972,376.314,0.636174,631.067,379.167,0.706392,661.503,375.362,0.749779,674.819,361.096,0.787672,673.867,339.219,0.703497,671.014,317.343,0.7422,673.867,294.516,0.727127,671.965,271.689,0.723559,669.112,249.813,0.774991,666.258,229.839,0.727017,659.601,210.817,0.695208,540.709,221.279,0.623967,550.22,203.208,0.777404,567.341,194.647,0.797659,585.412,188.941,0.830887,604.435,187.99,0.749985,631.067,184.185,0.788104,637.724,179.429,0.896942,644.382,173.723,0.894183,651.04,172.771,0.889684,655.796,173.723,0.782853,623.458,207.012,0.853577,631.067,220.328,0.854125,639.627,233.644,0.887589,648.187,248.862,0.887311,623.458,270.738,0.879249,633.92,271.689,0.831671,645.334,270.738,0.83852,650.089,266.933,0.764799,653.894,263.129,0.770311,569.243,226.035,0.918779,575.901,218.426,0.861821,584.461,217.475,0.88945,592.07,218.426,0.916062,585.412,225.084,0.907573,576.852,226.035,0.918079,632.018,207.012,0.823787,638.676,200.354,0.862524,647.236,196.55,0.882269,653.894,203.208,0.918658,648.187,208.914,0.823339,639.627,209.866,0.871563,616.8,316.392,0.827092,629.164,306.881,0.860044,638.676,300.223,0.831463,647.236,299.272,0.784852,652.943,294.516,0.808608,658.649,296.419,0.741488,660.552,302.125,0.847729,660.552,310.686,0.811129,658.649,317.343,0.77142,652.943,321.148,0.755113,641.529,323.05,0.797497,630.115,321.148,0.840872,624.409,312.588,0.816981,638.676,307.832,0.858693,647.236,304.028,0.788727,652.943,302.125,0.836631,655.796,303.076,0.834298,652.943,307.832,0.807037,648.187,309.734,0.839235,639.627,310.686,0.895595,578.754,220.328,0.828395,642.48,202.256,0.815979
